id,name,album,genres,artist,release_date,popularity,duration_ms,explicit,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_score,multiplier,music_score,breathing_score
4w2GLmK2wnioVnb5CPQeex,360,BRAT,"art pop, candy pop, metropopolis, pop, uk pop",Charli xcx,2024-06-07,82,133805,True,https://open.spotify.com/track/4w2GLmK2wnioVnb5CPQeex,0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042,4,0.9992000754725324,1.00035,0.6166125,0.871670883648355
1bjeWoagtHmUKputLVyDxQ,Saturn,Saturn,"pop, r&b, rap",SZA,2024-02-22,85,186191,False,https://open.spotify.com/track/1bjeWoagtHmUKputLVyDxQ,0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,4,0.965456300085076,0.988538888888889,0.5832875,0.8380667000567174
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),Timeless,"canadian contemporary r&b, canadian pop, pop","The Weeknd, Playboi Carti",2024-09-27,92,256000,True,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,4,0.9995746831337631,0.999775,0.48553573666666666,0.828228367644731
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),Guy For That,"dfw rap, melodic rap, pop, rap","Post Malone, Luke Combs",2024-07-26,73,164011,False,https://open.spotify.com/track/5crxqqibcvoOQQgg4HjAFQ,0.608,0.914,8,-4.116,1,0.0721,0.00545,0.0,0.137,0.511,120.01,4,1.0,1.0000833333333334,0.46459375,0.82153125
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,HARDSTONE PSYCHO,rap,Don Toliver,2024-06-14,85,217333,True,https://open.spotify.com/track/2c7z5oRcPBbqRaBY2mLWcf,0.757,0.628,4,-6.715,0,0.101,0.189,0.0209,0.221,0.321,119.98,4,0.999749811040626,0.9998333333333334,0.46399791666666673,0.8211658462493062
5ZLL6wYXeqg0k35ZkDRfhZ,Pour Me A Drink (Feat. Blake Shelton),Pour Me A Drink,"dfw rap, melodic rap, pop, rap","Post Malone, Blake Shelton",2024-06-21,71,195122,False,https://open.spotify.com/track/5ZLL6wYXeqg0k35ZkDRfhZ,0.577,0.904,11,-3.817,1,0.033,0.0018,0.0,0.308,0.861,119.033,4,0.9758704096616272,0.9919416666666667,0.4971479166666666,0.8162962453299736
0OA00aPt3BV10qeMIs3meW,Big Dawgs,Big Dawgs,"desi hip hop, indian underground rap, malayalam hip hop","Hanumankind, Kalmi",2024-07-09,87,190666,True,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW,0.464,0.745,4,-3.202,0,0.161,0.0235,0.0,0.363,0.262,180.098,4,0.9986170659810071,1.0005444444444445,0.4373916666666667,0.811541932876227
4IadxL6BUymXlh8RCJJu7T,Too Sweet,Unheard,"irish singer-songwriter, modern rock, pop, pov: indie",Hozier,2024-03-22,78,251424,False,https://open.spotify.com/track/4IadxL6BUymXlh8RCJJu7T,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4,0.924300268244212,0.9753166666666666,0.553819875,0.8008068038294747
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Love Somebody,contemporary country,Morgan Wallen,2024-10-18,85,204828,False,https://open.spotify.com/track/7hR22TOX3RorxJPcsz5Wbo,0.619,0.843,5,-5.348,0,0.0284,0.00948,0.000118,0.164,0.746,122.064,4,0.9495053810348917,1.0171999999999999,0.5015080833333334,0.8001729484677056
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,The Emptiness Machine,"alternative metal, nu metal, post-grunge, rap metal, rock",Linkin Park,2024-09-05,90,190427,True,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A,0.466,0.872,7,-3.344,1,0.0336,0.0156,0.0,0.121,0.806,184.115,4,0.9331768503181032,1.0228611111111112,0.5341583333333333,0.8001706779898465
2bl81llf715VEEbAx03yvB,Close To You,The Secret of Us,alt z,Gracie Abrams,2024-06-21,78,225973,False,https://open.spotify.com/track/2bl81llf715VEEbAx03yvB,0.59,0.727,6,-7.955,1,0.0706,0.0259,6.48e-05,0.0827,0.356,121.966,4,0.9518759325121742,1.0163833333333332,0.47238518333333335,0.7920456827858939
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!",indie pop,Chappell Roan,2024-04-05,94,218423,False,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,0.915705683653457,0.9726,0.5412708333333334,0.7908940668800825
4I7EjNiZBiWztkWyr9PsRU,Back on my BS,TAKE CARE,southern hip hop,BigXthaPlug,2024-10-11,64,94426,True,https://open.spotify.com/track/4I7EjNiZBiWztkWyr9PsRU,0.803,0.572,9,-8.655,1,0.336,0.236,0.00731,0.372,0.687,121.963,4,0.9519485605094715,1.0163583333333333,0.4628825,0.7889265403396477
2CspwnypzT7rcWI9RfsoSb,Mantra,Mantra,k-pop,JENNIE,2024-10-10,89,136627,True,https://open.spotify.com/track/2CspwnypzT7rcWI9RfsoSb,0.894,0.725,10,-4.984,0,0.0432,0.00434,1.15e-05,0.0815,0.838,116.988,4,0.9229851903137767,0.9749,0.5019481041666666,0.7826394949314066
